Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,-2.02786009625116,-1.94862938125331,-2.25206596677529,0.281700526199515,1.49555767038626,,
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,2.00759902111664,1.99481776127256,1.63082167300268,1.61426718547341,2.19546391752577,1.91283333333333,1.75966386554622,3.34244694132335,4.43603896103896,
Afghanistan,AFG,Military expenditure (current LCU),MS.MIL.XPND.CN,,,,4685000000,5440000000,5521000000,6223000000,10648000000,11477000000,12564000000,26773000000,40989000000,
Afghanistan,AFG,Military expenditure (% of central government expenditure),MS.MIL.XPND.ZS,,,,,,,8.68867041174158,9.04815898322543,4.3934774955642,4.63464499215763,7.2480331314369,,
Canada,CAN,"Population, total",SP.POP.TOTL,30769700,31081900,31362000,31676000,31995000,32312000,32576074,32929733,33319098,33729690,34126181,34482779,
Canada,CAN,Population growth (annual %),SP.POP.GROW,0.882998576899551,1.00952166618952,0.897131276677935,0.996232738932617,1.00203442432575,0.985903766968816,0.813941427536767,1.07978957108146,1.17547578565952,1.22477122959505,1.16864025650473,1.03951790306018,
Canada,CAN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,680919841818.933,696782478878.045,716420709570.044,780637136512.029,912972046708.332,1069970558495.21,1202308649823.73,1327856820480.24,1447965100545.18,1412898810000.84,1475864608823.14,1570886127853.82,
Canada,CAN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,22130,22420,22840,24640,28530,33110,36910,40320,43460,41890,43250,45560,
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,851326568057.971,884103108687.326,914346677215.212,965961300143.521,1027447738222.04,1110784515255.98,1189061073291.64,1246703294190.62,1282544380362.8,1254337382960.54,1309486991244.93,1367594947665.97,
Canada,CAN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,27670,28440,29150,30500,32110,34380,36500,37860,38490,37190,38370,39660,
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,724918860682.782,715423553719.008,734661951188.428,865873242452.359,992226099521.914,1133759985475.67,1278610846644.8,1424065729447.91,1502678437546.86,1337577639751.55,1577040082217.76,1736050505050.51,
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.23328864605186,1.78380122033775,2.92452948097839,1.88107432962821,3.11997697924049,3.01905734541239,2.8230327286191,2.20002135564717,0.688726873388902,-2.76976817989366,3.21494840783281,2.45964120483926,
Canada,CAN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.13230363985963,1.11947610033903,1.09182995682498,3.28480016890971,3.18780155427443,3.30600011154236,2.67415602370123,3.18925499242732,4.10969001354951,-1.92571538838283,2.94440856444143,3.25144347174071,
Canada,CAN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,20.8682704534836,20.3804347826087,19.6353559053001,19.339831434047,19.1814121245079,19.0554975270136,18.9955908866834,19.0515883678557,18.1050106709542,17.9315035791718,17.1966406665485,,
Canada,CAN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,2.22900916515957,1.59848670815705,1.54817612899588,1.12267397531271,1.57772912977397,0.820325437003447,1.63630158472978,1.79276916871133,0.604146891203666,-1.41760710536729,-2.03064369989561,,
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.14492507270729,1.17070740617735,1.1563832232491,1.1500401838152,1.14253090465146,1.14561686361999,1.15829716527453,1.22307364919596,1.28718774517936,1.4157104222736,1.4650918867813,1.42468973462346,
Canada,CAN,Military expenditure (current LCU),MS.MIL.XPND.CN,12326000000,12972000000,13332000000,13952000000,14749000000,15739000000,16800000000,18708000000,20639000000,21646000000,23802000000,24486000000,
Canada,CAN,Military expenditure (% of central government expenditure),MS.MIL.XPND.ZS,6.12189149858699,6.22053851871388,6.35656253575924,6.2855057642665,6.46670408109578,6.26111378527073,6.65604868424181,7.05653374371973,7.33450368875179,7.30141704023774,7.62696385827857,,
Russian Federation,RUS,"Population, total",SP.POP.TOTL,146303000,145949580.335128,145299690.295609,144599446.748596,143849574.208616,143150000,142500000,142100000,141950000,141910000,141920000,141930000,
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,-0.00410099380807566,-0.241859173148492,-0.446278280275204,-0.483095545586835,-0.519935361044951,-0.487509848113798,-0.455103183541881,-0.281096460565032,-0.105615218407472,-0.0281829072534091,0.00704647148232434,0.00704597498971273,
Russian Federation,RUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,250285600912.383,259617510213.174,305698691892.145,373909769349.362,490582078741.578,638044350697.412,829455941000.473,1078377644583.18,1378496033475.85,1318720312210.34,1409594542637.48,1522273551577.14,
Russian Federation,RUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1710,1780,2100,2590,3410,4460,5820,7590,9710,9290,9930,10730,
Russian Federation,RUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,973727861357.129,1059524738505.19,1144425550264.66,1297234742746.93,1442678080266.06,1654480751295.88,2066580423030.19,2322890662056.38,2817892181858.67,2589866149466.23,2737442073846.39,2917709280331.05,
Russian Federation,RUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6660,7260,7880,8970,10030,11560,14500,16350,19850,18250,19290,20560,
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,259708496267.33,306602673980.117,345110438693.573,430347770733.154,591016690742.938,764000901160.579,989930542278.685,1299705764824.48,1660846387626,1222648134225.45,1487515608183.44,1857769676143.63,
Russian Federation,RUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.0000000000001,5.09198423127464,4.74366989684276,7.29585433062174,7.17594919269398,6.37618702701526,8.15343197291239,8.53508020907745,5.247953532178,-7.82088502684036,4.33993330300333,4.3353050965414,
Russian Federation,RUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,37.698095568389,16.489527977493,15.4929534423952,13.780061468852,20.2820769282179,19.3060948358685,15.1700471050962,13.8044206797406,17.9597140373189,1.99372282320178,11.5612675104494,15.8165084949329,
Russian Federation,RUS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,,,31.7562491579135,27.5844466691558,26.8498866830601,30.2838575607505,28.693547640301,31.3283580889608,33.6813498942365,25.5040179726722,26.7092451086902,,
Russian Federation,RUS,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,7.03040094056783,2.20755532366021,5.28091748590374,9.88306837968613,8.02609442896437,6.18602656338537,5.6198572461022,-4.20926842992705,-1.91265760270431,,
Russian Federation,RUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.70948313622427,4.08113064090523,4.34412403608947,4.30034787004124,3.85266134256679,3.72979521873147,3.59249829328298,3.44085884597309,3.50801969752812,4.36259042048761,3.94264258150044,3.86915068686629,
Russian Federation,RUS,Military expenditure (current LCU),MS.MIL.XPND.CN,271000000000,365000000000,470000000000,568000000000,656000000000,806000000000,967000000000,1144000000000,1448000000000,1693000000000,1781000000000,2112000000000,
Russian Federation,RUS,Military expenditure (% of central government expenditure),MS.MIL.XPND.ZS,,,19.2569283970041,18.6595968868869,17.8580209458912,18.6974962243121,18.4225566774624,14.9560078963538,16.2919957694818,14.0343023882354,14.0500627164506,,
Australia,AUS,"Population, total",SP.POP.TOTL,19153000,19413000,19651400,19895400,20127400,20394800,20697900,21072500,21498500,21951700,22299800,22620600,
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.20219139373096,1.34835834227145,1.22056378534358,1.23399666342628,1.15935216218033,1.31978955436191,1.47522794532757,1.52042226074446,2.00142923683952,2.08614200114382,1.57331245466558,1.42832857191371,
Australia,AUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,405058992521.814,391305592892.11,393342429325.513,421109841589.914,513460159892.258,617670623105.152,705491363658.447,775497441555.964,897806739035.333,948511582099.119,1022538335785.89,1111433600164.73,
Australia,AUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,21150,20160,20020,21170,25510,30290,34090,36800,41760,43210,45850,49130,
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,488889251933.28,516776195619.026,549762497486.195,576234783845.568,612616896319.759,638772142057.56,679186849966.211,726897655059.845,762219456372.177,823157508037.825,812476927727.926,861997041025.652,
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25530,26620,27980,28960,30440,31320,32810,34500,35450,37500,36430,38110,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,415774037555.737,379357625845.229,395012557555.463,466459522422.831,611386399203.301,692301157720.643,744836028751.123,850325822407.16,1052817595438.4,921971672011.195,1139200538110.92,1379382221955.1,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.84616636310284,1.89933582789605,3.91321463426635,3.15132848478153,4.14755843413074,3.18666231995188,3.03805646974224,3.78136490171302,3.77308555606324,1.36618924227223,2.3297102538582,1.90562711654734,
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.57319657308469,4.78552520259505,2.77591426769443,2.84718136931951,3.04002625696376,3.83628078859255,4.8401000192281,4.90496717107425,4.62879905156097,5.05055112461763,0.935619836162729,6.14782549978112,
Australia,AUS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,25.9083706801886,26.9948153544727,25.9701330422758,26.6543973050689,26.6585765695118,27.1094875768135,27.0515870981491,26.5158901630565,26.6411213411466,24.6238274805186,23.4423757905643,22.9636819657812,
Australia,AUS,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,2.01106584677291,0.833787196118235,-0.430095847661031,0.848284016576124,0.827470339865524,1.25518650796667,1.73149859821492,1.63628977157314,1.91028692570851,-2.44605971164765,-4.04181292427593,-3.70070697619897,
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.88999864419036,1.92095288742437,1.92706988411495,1.90311354149959,1.88507415595808,1.87112700456691,1.88828087553922,1.88149313917773,1.87342925093191,1.93675955453973,1.97006951400905,1.86188754644836,
Australia,AUS,Military expenditure (current LCU),MS.MIL.XPND.CN,12546000000,13618000000,14627000000,15306000000,16311000000,17335000000,18910000000,20539000000,22214000000,24311000000,25311000000,25905000000,
