"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Algeria","Female 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","9334988",""
"Algeria","Female 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","7954217",""
"Algeria","Female 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","6723118",""
"Algeria","Female 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","5675580",""
"Algeria","Female 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","819760",""
"Algeria","Female 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","697215",""
"Algeria","Female 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","580254",""
"Algeria","Female 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","500465",""
"Algeria","Female 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","446930",""
"Algeria","Male 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","4979624",""
"Algeria","Male 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","5313395",""
"Algeria","Male 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","5719983",""
"Algeria","Male 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","5555804",""
"Algeria","Male 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","5061813",""
"Algeria","Male 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","6121791",""
"Algeria","Male 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","6475423",""
"Algeria","Male 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","6742359",""
"Algeria","Male 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","6427287",""
"Algeria","Male 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","5824599",""
"Algeria","Male 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","3778144",""
"Algeria","Male 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3515886",""
"Algeria","Male 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","3038115",""
"Algeria","Male 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2623370",""
"Algeria","Male 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2275122",""
"Algeria","Male 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","10929374",""
"Algeria","Male 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","9497251",""
"Algeria","Male 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","8064017",""
"Algeria","Male 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","6768178",""
"Algeria","Male 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","5675456",""
"Algeria","Male 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","674020",""
"Algeria","Male 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","581359",""
"Algeria","Male 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","473369",""
"Algeria","Male 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","411673",""
"Algeria","Male 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","375095",""
"Angola","Female 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","3744047",""
"Angola","Female 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3273213",""
"Angola","Female 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","2928424",""
"Angola","Female 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2499094",""
"Angola","Female 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2180068",""
"Angola","Female 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","4295926",""
"Angola","Female 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3739950",""
"Angola","Female 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","3332844",""
"Angola","Female 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2837285",""
"Angola","Female 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2481325",""
"Angola","Female 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","1623653",""
"Angola","Female 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","1372695",""
"Angola","Female 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","1182919",""
"Angola","Female 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","1008141",""
"Angola","Female 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","897840",""
"Angola","Female 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","4198174",""
"Angola","Female 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","3601617",""
"Angola","Female 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","3149707",""
"Angola","Female 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","2697211",""
"Angola","Female 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","2394230",""
