Movie Title,Time,Genre,Directors,Writers,Actors,Rating,Number of Ratings
Memories of Murder,132,Crime;Drama;Mystery,Joon-ho Bong,Joon-ho Bong;Kwang-rim Kim,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim,8.1,"26,084"
District 9,112,Action;Sci-Fi;Thriller,Neill Blomkamp,Neill Blomkamp;Terri Tatchell,Sharlto Copley;David James;Jason Cope,8.0,"324,563"
Stalker,163,Adventure;Drama;Fantasy,Andrey Tarkovskiy,Arkadiy Strugatskiy;Boris Strugatskiy,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn,8.1,"37,566"
The Truman Show,103,Comedy;Drama;Sci-Fi,Peter Weir,Andrew Niccol,Jim Carrey;Ed Harris;Laura Linney,8.0,"333,088"
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action;Adventure;Fantasy,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Geoffrey Rush;Orlando Bloom,8.1,"445,725"
Roman Holiday,118,Comedy;Drama;Romance,William Wyler,Ian McLellan Hunter;John Dighton,Gregory Peck;Audrey Hepburn;Eddie Albert,8.1,"54,196"
In the Name of the Father,133,Biography;Drama;Thriller,Jim Sheridan,Gerry Conlon;Terry George,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie,8.1,"52,398"
The Perks of Being a Wallflower,102,Drama;Romance,Stephen Chbosky,Stephen Chbosky;Stephen Chbosky,Logan Lerman;Emma Watson;Ezra Miller,8.2,"63,660"
The Diving Bell and the Butterfly,112,Biography;Drama,Julian Schnabel,Ronald Harwood;Jean-Dominique Bauby,Mathieu Amalric;Emmanuelle Seigner;Marie-Jose Croze,8.1,"59,704"
Yip Man,106,Action;Biography;Drama,Wilson Yip,Edmond Wong;Chan Tai-Li,Donnie Yen;Simon Yam;Siu-Wong Fan,8.1,"67,665"
"Monsters, Inc.",92,Animation;Adventure;Comedy,Pete Docter;David Silverman,Pete Docter;Jill Culton,Billy Crystal;John Goodman;Mary Gibbs,8.0,"268,720"
Ratatouille,111,Animation;Comedy;Family,Brad Bird;Jan Pinkava,Brad Bird;Jan Pinkava,Brad Garrett;Lou Romano;Patton Oswalt,8.0,"266,489"
Per un pugno di dollari,99,Western,Sergio Leone,A. Bonzzoni;Vctor Andrs Catena,Clint Eastwood;Gian Maria Volont;Marianne Koch,8.0,"69,023"
Harry Potter and the Deathly Hallows: Part 2,130,Adventure;Drama;Fantasy,David Yates,Steve Kloves;J.K. Rowling,Daniel Radcliffe;Emma Watson;Rupert Grint,8.1,"248,185"
A Streetcar Named Desire,122,Drama,Elia Kazan,Tennessee Williams;Oscar Saul,Vivien Leigh;Marlon Brando;Kim Hunter,8.0,"53,288"
